Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
pwolf4,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 8:53:03 AM,12/7/2017 12:21:22 PM,27:28
dbartolanzo0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/7/2017 1:28:12 PM,12/7/2017 2:36:42 PM,1:8
aking20,ADCF\FACAD3PDECX06P,UNIV_SAS,12/12/2017 6:24:00 AM,12/12/2017 1:18:33 PM,6:54
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/14/2017 8:45:56 AM,Running,2:36
supgde,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 3:14:29 PM,12/12/2017 3:16:53 PM,0:2
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,12/13/2017 7:40:28 AM,12/13/2017 11:54:55 AM,4:14
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 9:43:48 AM,12/7/2017 11:01:57 AM,1:18
aallen13,ADCF\FACAD3PDECX07P,SAS,12/7/2017 9:13:41 AM,12/7/2017 8:09:28 PM,10:55
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/11/2017 5:15:54 PM,12/11/2017 10:58:43 PM,5:42
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,12/11/2017 7:58:16 AM,12/11/2017 12:11:11 PM,4:12
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 7:35:56 AM,12/7/2017 3:31:30 PM,7:55
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 3:23:54 PM,12/7/2017 4:43:20 PM,1:19
jmurguia1,ADCF\FACAD3PDECX07P,SAS,12/14/2017 10:36:31 AM,Running,0:45
khawley2,ADCF\FACAD3PDECX08P,SPSS,12/14/2017 8:18:13 AM,12/14/2017 8:22:26 AM,0:4
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 4:42:04 AM,12/7/2017 2:36:27 PM,9:54
kroenfeldt0,ADCF\FACAD3PDECX07P,SAS,12/13/2017 10:25:55 AM,12/13/2017 2:16:01 PM,3:50
pwolf4,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 8:59:08 AM,12/11/2017 5:04:05 PM,8:4
fmollah0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 2:10:26 PM,12/7/2017 3:13:29 PM,1:3
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 5:19:21 PM,12/8/2017 12:05:42 AM,6:46
aallen13,ADCF\FACAD3PDECX07P,SAS,12/11/2017 9:14:22 AM,12/11/2017 8:16:16 PM,11:1
bjoseph0,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 12:04:44 PM,12/12/2017 5:02:28 AM,16:57
jwei22,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 11:33:37 AM,12/8/2017 3:02:38 PM,3:29
jwei22,ADCF\FACAD3PDECX05P,Analysts,12/14/2017 8:32:15 AM,Running,2:49
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 8:14:39 AM,12/11/2017 4:02:14 PM,7:47
wchiu0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/12/2017 9:46:32 AM,12/12/2017 10:37:05 AM,0:50
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/8/2017 6:04:41 AM,12/8/2017 2:10:30 PM,8:5
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 9:21:11 AM,12/7/2017 4:51:19 PM,7:30
mlessman0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 7:50:10 AM,12/11/2017 8:54:30 AM,1:4
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/8/2017 10:45:59 AM,12/8/2017 4:58:35 PM,6:12
wchiu0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 10:08:08 AM,12/8/2017 10:21:43 AM,0:13
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 9:38:34 AM,12/8/2017 9:47:37 AM,0:9
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 4:04:56 PM,12/8/2017 4:29:04 PM,0:24
