"","User.Name","Machine.Name","Delivery.Group","Logon.Attempt.Time","Total..sec.","Brokering..sec.","VM.Start..sec.","HDX.Connection..sec.","Authentication..sec.","GPOs..sec.","Logon.scripts..sec.","Profile.load..sec.","Interactive.sessions..sec.","Logon.Attempt.Outcome","Failure.Reason","Weekday","Date","Hour"
"72","ksullivan7","ADCF\FACAD3PDECX08P","SPSS","11/21/2017 12:14:12 AM","82.228","0.017","n/a","6.533","9.093","9.066","n/a","1.613","34.33","Success","n/a","Tuesday","2017-11-21",12
"73","michael.j.ready4.ctr","ADCF\FACAD3PDECX06P","UNIV_SAS","11/14/2017 11:35:36 PM","56.104","0","n/a","7.056","9.422","3.89","n/a","0.453","25.666","Success","n/a","Tuesday","2017-11-14",11
"74","michael.j.ready4.ctr","ADCF\FACAD3PDECX09P","SAS RFL","11/15/2017 11:42:15 PM","68.47","0.017","n/a","10.903","13.75","1.25","n/a","0.356","19","Success","n/a","Wednesday","2017-11-15",11
"75","michael.j.ready4.ctr","ADCF\FACAD3PDECX06P","UNIV_SAS","11/17/2017 9:59:18 PM","67.453","0.017","n/a","8.136","6.563","2.936","n/a","0.846","27.496","Success","n/a","Friday","2017-11-17",9
"76","michael.j.ready4.ctr","ADCF\FACAD3PDECX09P","SAS RFL","11/17/2017 9:50:01 PM","61.839","0","n/a","8.093","7.016","1.643","n/a","0.31","24.513","Success","n/a","Friday","2017-11-17",9
"77","michael.j.ready4.ctr","ADCF\FACAD3PDECX07P","SAS","11/16/2017 7:09:45 PM","74.884","0.017","n/a","11.443","13.047","3.543","n/a","0.29","31.8","Success","n/a","Thursday","2017-11-16",7
"78","michael.j.ready4.ctr","ADCF\FACAD3PDECX09P","SAS RFL","11/16/2017 9:50:38 PM","66.702","0.016","n/a","5.646","10.781","3.97","n/a","0.513","32.683","Success","n/a","Thursday","2017-11-16",9
"79","michael.j.ready4.ctr","ADCF\FACAD3PDECX09P","SAS RFL","11/16/2017 5:26:16 PM","46.919","0.017","n/a","7.43","4.234","1.25","n/a","0.406","19.183","Success","n/a","Thursday","2017-11-16",5
"80","michael.j.ready4.ctr","ADCF\FACAD3PDECX09P","SAS RFL","11/17/2017 4:47:51 PM","47.741","0.03","n/a","7.1","4.125","1.64","n/a","0.436","19.426","Success","n/a","Friday","2017-11-17",4
"81","hwu3","ADCF\FACAD3PDECX06P","UNIV_SAS","11/20/2017 3:35:41 PM","122.557","0.016","n/a","4.606","17.672","7.403","n/a","1.173","25.973","Success","n/a","Monday","2017-11-20",3
"82","hwu3","ADCF\FACAD3PDECX06P","UNIV_SAS","11/15/2017 3:34:07 PM","66.304","0.017","n/a","2.703","11.579","1.186","n/a","0.436","18.283","Success","n/a","Wednesday","2017-11-15",3
"83","hwu3","ADCF\FACAD3PDECX06P","UNIV_SAS","11/16/2017 3:41:21 PM","78.025","0.017","n/a","4.583","23.859","1.31","n/a","0.05","17.723","Success","n/a","Thursday","2017-11-16",3
"84","wchiu0","ADCF\FACAD3PDECX06P","UNIV_SAS","11/17/2017 2:17:41 PM","71.035","0.017","n/a","5.043","12.25","3.563","n/a","1.47","22.423","Success","n/a","Friday","2017-11-17",2
"85","wchiu0","ADCF\FACAD3PDECX06P","UNIV_SAS","11/21/2017 6:25:51 PM","69.962","0.03","n/a","3.77","11.281","2.42","n/a","0.783","25.146","Success","n/a","Tuesday","2017-11-21",6
"86","wchiu0","ADCF\FACAD3PDECX06P","UNIV_SAS","11/17/2017 4:30:08 PM","64.606","0.016","n/a","3.31","10.641","1.14","n/a","0.216","23.246","Success","n/a","Friday","2017-11-17",4
"87","wchiu0","ADCF\FACAD3PDECX06P","UNIV_SAS","11/16/2017 1:34:33 PM","78.164","0.047","n/a","n/a","14.578","5.656","n/a","0.796","24.18","Success","n/a","Thursday","2017-11-16",1
"88","jtolins0","ADCF\FACAD3PDECX05P","Analysts","11/16/2017 5:14:57 PM","84.261","0.016","n/a","n/a","18.657","2.12","n/a","0.62","30.303","Success","n/a","Thursday","2017-11-16",5
"89","jtolins0","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 5:11:47 PM","81.588","0.017","n/a","7.33","7.656","2.47","n/a","0.706","31.1","Success","n/a","Monday","2017-11-20",5
"90","jtolins0","ADCF\FACAD3PDECX08P","SPSS","11/14/2017 9:40:02 PM","91.543","0.017","n/a","5.436","14.891","6.11","n/a","0.453","31.19","Success","n/a","Tuesday","2017-11-14",9
"91","jtolins0","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 5:02:34 PM","84.091","0.017","n/a","5.153","10.531","4.91","n/a","1.626","35.68","Success","n/a","Tuesday","2017-11-21",5
"92","jtolins0","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 11:29:28 PM","67.373","0.016","n/a","5.1","6.859","1.3","n/a","0.393","28.12","Success","n/a","Monday","2017-11-20",11
"93","jtolins0","ADCF\FACAD3PDECX08P","SPSS","11/20/2017 10:33:16 PM","74.184","0.034","n/a","5.253","7.89","7.163","n/a","0.54","29.943","Success","n/a","Monday","2017-11-20",10
"94","jtolins0","ADCF\FACAD3PDECX08P","SPSS","11/16/2017 5:38:57 PM","67.597","0.017","n/a","4.153","7.891","1.283","n/a","0.33","25.06","Success","n/a","Thursday","2017-11-16",5
"95","jtolins0","ADCF\FACAD3PDECX08P","SPSS","11/15/2017 4:13:17 PM","118.861","0.564","n/a","3.796","8.875","1.27","n/a","0.493","24.79","Success","n/a","Wednesday","2017-11-15",4
"96","jtolins0","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 5:47:57 PM","161.46","0.017","n/a","6.763","8.031","6.066","n/a","0.743","35.493","Success","n/a","Friday","2017-11-17",5
"97","jtolins0","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 7:40:05 PM","112.058","0.017","n/a","4.333","8.578","8.11","n/a","1.816","66.216","Success","n/a","Tuesday","2017-11-21",7
"98","ksmith67","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 5:47:13 PM","82.235","0.016","n/a","4.033","13","7.883","n/a","1.123","35.68","Success","n/a","Friday","2017-11-17",5
"99","ksmith67","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 5:03:59 PM","65.472","0","n/a","3.973","7.687","2.513","n/a","1.003","27.89","Success","n/a","Monday","2017-11-20",5
"100","pwolf4","ADCF\FACAD3PDECX05P","Analysts","11/16/2017 5:02:20 PM","81.472","0.017","n/a","7.33","11.141","2.273","n/a","0.34","28.143","Success","n/a","Thursday","2017-11-16",5
"101","pwolf4","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 4:43:37 PM","98.641","0.033","n/a","6.056","12.125","3.716","n/a","0.656","32.716","Success","n/a","Monday","2017-11-20",4
"102","pwolf4","ADCF\FACAD3PDECX08P","SPSS","11/21/2017 7:47:07 PM","150.454","0.017","n/a","4.04","8.688","11.383","n/a","1.646","37.976","Success","n/a","Tuesday","2017-11-21",7
"103","pwolf4","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 4:49:22 PM","122.873","0.034","n/a","3.843","15.719","5.703","n/a","2.77","63.553","Success","n/a","Tuesday","2017-11-21",4
"104","pwolf4","ADCF\FACAD3PDECX05P","Analysts","11/15/2017 4:25:56 PM","165.728","0.033","n/a","5.8","22.765","9.463","n/a","2.37","50.606","Success","n/a","Wednesday","2017-11-15",4
"105","pwolf4","ADCF\FACAD3PDECX05P","Analysts","11/16/2017 11:40:08 PM","111.964","0.017","n/a","3.303","23.125","5.033","n/a","0.406","29.646","Success","n/a","Thursday","2017-11-16",11
"106","pwolf4","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 6:36:10 PM","121.738","0.03","n/a","5.22","12.828","4.21","n/a","0.8","51.19","Success","n/a","Friday","2017-11-17",6
"107","esadikova0","ADCF\FACAD3PDECX06P","UNIV_SAS","11/14/2017 9:10:54 PM","106.224","0.05","n/a","5.416","11.234","6.123","n/a","0.656","24.33","Success","n/a","Tuesday","2017-11-14",9
"108","jfisher11","ADCF\FACAD3PDECX07P","SAS","11/21/2017 3:50:17 PM","91.986","0.11","n/a","12.593","13.344","1.326","n/a","0.656","18.923","Success","n/a","Tuesday","2017-11-21",3
"109","jfisher11","ADCF\FACAD3PDECX08P","SPSS","11/21/2017 3:48:49 PM","90.126","0.017","n/a","2.266","14.062","1.19","n/a","0.5","19.31","Success","n/a","Tuesday","2017-11-21",3
"110","jfisher11","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 3:51:33 PM","100.922","0","n/a","12.266","10.266","2.586","n/a","1.33","31.243","Success","n/a","Tuesday","2017-11-21",3
"111","jfisher11","ADCF\FACAD3PDECX07P","SAS","11/15/2017 8:19:14 PM","63.299","0","n/a","n/a","7.203","1.266","n/a","0.436","24.596","Success","n/a","Wednesday","2017-11-15",8
"112","jfisher11","ADCF\FACAD3PDECX07P","SAS","11/17/2017 3:53:47 PM","120.122","0.017","n/a","12.6","13.892","7.333","n/a","1.23","33.386","Success","n/a","Friday","2017-11-17",3
"113","jfisher11","ADCF\FACAD3PDECX07P","SAS","11/16/2017 4:22:31 PM","82.368","0.033","n/a","2.58","13.156","1.343","n/a","0.85","26.593","Success","n/a","Thursday","2017-11-16",4
"114","jfisher11","ADCF\FACAD3PDECX08P","SPSS","11/15/2017 3:45:49 PM","101.922","0.015","n/a","2.95","7.172","1.45","n/a","0.496","24.71","Success","n/a","Wednesday","2017-11-15",3
"115","jfisher11","ADCF\FACAD3PDECX07P","SAS","11/20/2017 4:02:56 PM","85.222","0.016","n/a","12.806","8.312","2.373","n/a","0.593","29.296","Success","n/a","Monday","2017-11-20",4
"116","jfisher11","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 4:03:53 PM","87.944","0.017","n/a","2.94","10.296","3.01","n/a","0.996","30.896","Success","n/a","Monday","2017-11-20",4
"117","jfisher11","ADCF\FACAD3PDECX08P","SPSS","11/17/2017 3:52:31 PM","76.213","0.017","n/a","2.773","7.047","9.933","n/a","1.11","33.52","Success","n/a","Friday","2017-11-17",3
"118","jfisher11","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 3:55:57 PM","173.19","0.016","n/a","2.146","10.578","12.456","n/a","2.086","95.526","Success","n/a","Friday","2017-11-17",3
"119","jfisher11","ADCF\FACAD3PDECX08P","SPSS","11/16/2017 4:21:29 PM","80.822","0","n/a","12.583","13.734","1.356","n/a","0.643","20.006","Success","n/a","Thursday","2017-11-16",4
